iter,S,delta
0,18.5625,nan
1,16.3904,0.117013
2,13.1566,0.197298
3,11.2531,0.144684
4,10.0186,0.109703
5,9.14731,0.0869665
6,8.49201,0.0716385
7,7.97596,0.0607684
8,7.55573,0.0526877
9,7.20482,0.0464429
10,6.90606,0.0414658
11,6.64777,0.0374011
12,6.42164,0.0340157
13,6.2216,0.0311506
14,6.04309,0.028693
15,5.88257,0.0265612
16,5.73731,0.0246938
17,5.6051,0.0230443
18,5.48416,0.0215766
19,5.37304,0.0202621
20,5.27053,0.0190779
21,5.17563,0.0180057
22,5.08749,0.0170303
23,5.00538,0.0161393
24,4.92869,0.0153222
25,4.85688,0.0145702
26,4.78948,0.0138761
27,4.7261,0.0132333
28,4.66638,0.0126366
29,4.61,0.0120812
30,4.5567,0.011563
31,4.50622,0.0110786
32,4.45834,0.0106247
33,4.41287,0.0101987
34,4.36963,0.00979817
35,4.32847,0.00942094
36,4.28923,0.00906509
37,4.25179,0.00872894
38,4.21603,0.00841094
39,4.18184,0.00810973
40,4.14912,0.00782407
41,4.11778,0.00755284
42,4.08774,0.00729502
43,4.05892,0.0070497
44,4.03126,0.00681603
45,4.00468,0.00659326
46,3.97913,0.00638067
47,3.95454,0.00617764
48,3.93088,0.00598356
49,3.90809,0.00579791
50,3.88613,0.00562018
51,3.86495,0.00544991
52,3.84451,0.00528668
53,3.82479,0.00513009
54,3.80575,0.00497978
55,3.78734,0.00483541
56,3.76956,0.00469666
57,3.75235,0.00456325
58,3.73571,0.00443489
59,3.71961,0.00431134
60,3.70401,0.00419235
61,3.68891,0.0040777
62,3.67427,0.00396719
63,3.66009,0.00386062
64,3.64634,0.0037578
65,3.633,0.00365856
66,3.62005,0.00356274
67,3.60749,0.0034702
68,3.59529,0.00338077
69,3.58345,0.00329434
70,3.57194,0.00321076
71,3.56076,0.00312993
72,3.5499,0.00305172
73,3.53933,0.00297603
74,3.52906,0.00290276
75,3.51907,0.00283181
76,3.50934,0.00276308
77,3.49988,0.0026965
78,3.49067,0.00263198
79,3.4817,0.00256943
80,3.47296,0.00250879
81,3.46445,0.00244998
82,3.45616,0.00239294
83,3.44809,0.00233761
84,3.44021,0.00228391
85,3.43253,0.00223179
86,3.42505,0.0021812
87,3.41774,0.00213209
88,3.41062,0.00208439
89,3.40367,0.00203807
90,3.39688,0.00199308
91,3.39026,0.00194936
92,3.3838,0.00190689
93,3.37748,0.00186561
94,3.37132,0.00182549
95,3.3653,0.00178649
96,3.35941,0.00174857
97,3.35366,0.00171171
98,3.34804,0.00167586
99,3.34255,0.00164099
100,3.33718,0.00160708
101,3.33192,0.00157409
102,3.32678,0.00154199
103,3.32176,0.00151077
104,3.31684,0.00148038
105,3.31203,0.00145081
106,3.30732,0.00142203
107,3.30271,0.00139401
108,3.29819,0.00136674
109,3.29377,0.0013402
110,3.28945,0.00131435
111,3.2852,0.00128918
112,3.28105,0.00126467
113,3.27698,0.00124081
114,3.27299,0.00121756
115,3.26908,0.00119492
116,3.26524,0.00117287
117,3.26148,0.00115138
118,3.2578,0.00113045
119,3.25418,0.00111006
120,3.25063,0.00109019
121,3.24715,0.00107083
122,3.24374,0.00105196
123,3.24038,0.00103358
124,3.23709,0.00101565
125,3.23386,0.000998186
126,3.23069,0.000981159
127,3.22757,0.00096456
128,3.22451,0.000948378
129,3.2215,0.000932601
130,3.21855,0.000917218
131,3.21565,0.000902218
132,3.21279,0.000887591
133,3.20999,0.000873326
134,3.20723,0.000859414
135,3.20451,0.000845845
136,3.20185,0.00083261
137,3.19922,0.000819699
138,3.19664,0.000807104
139,3.1941,0.000794816
140,3.1916,0.000782827
141,3.18914,0.000771129
142,3.18671,0.000759714
143,3.18433,0.000748575
144,3.18198,0.000737704
145,3.17967,0.000727093
146,3.17739,0.000716737
147,3.17514,0.000706627
148,3.17293,0.000696758
149,3.17075,0.000687123
150,3.1686,0.000677716
151,3.16648,0.000668531
152,3.16439,0.000659562
153,3.16233,0.000650803
154,3.1603,0.000642248
155,3.1583,0.000633893
156,3.15632,0.000625731
157,3.15437,0.000617759
158,3.15245,0.00060997
159,3.15055,0.00060236
160,3.14868,0.000594924
161,3.14683,0.000587658
162,3.145,0.000580558
163,3.1432,0.000573618
164,3.14141,0.000566834
165,3.13965,0.000560203
166,3.13792,0.000553721
167,3.1362,0.000547384
168,3.1345,0.000541187
169,3.13282,0.000535127
170,3.13116,0.000529201
171,3.12953,0.000523405
172,3.12791,0.000517735
173,3.1263,0.00051219
174,3.12472,0.000506764
175,3.12315,0.000501455
176,3.1216,0.00049626
177,3.12007,0.000491177
178,3.11855,0.000486201
179,3.11705,0.000481331
180,3.11557,0.000476564
181,3.1141,0.000471896
182,3.11264,0.000467326
183,3.1112,0.000462851
184,3.10977,0.000458469
185,3.10836,0.000454176
186,3.10696,0.000449971
187,3.10558,0.000445851
188,3.1042,0.000441815
189,3.10285,0.00043786
190,3.1015,0.000433984
191,3.10016,0.000430185
192,3.09884,0.000426461
193,3.09753,0.000422811
194,3.09623,0.000419231
195,3.09495,0.000415721
196,3.09367,0.000412279
197,3.09241,0.000408903
198,3.09115,0.000405591
199,3.08991,0.000402341
200,3.08867,0.000399153
201,3.08745,0.000396024
202,3.08624,0.000392953
203,3.08503,0.000389939
204,3.08384,0.00038698
205,3.08266,0.000384074
206,3.08148,0.000381221
207,3.08032,0.000378419
208,3.07916,0.000375667
209,3.07801,0.000372963
210,3.07687,0.000370307
211,3.07574,0.000367696
212,3.07462,0.000365131
213,3.0735,0.000362609
214,3.07239,0.000360131
215,3.07129,0.000357694
216,3.0702,0.000355297
217,3.06912,0.000352941
218,3.06804,0.000350623
219,3.06697,0.000348342
220,3.06591,0.000346099
221,3.06486,0.000343891
222,3.06381,0.000341718
223,3.06277,0.00033958
224,3.06174,0.000337475
225,3.06071,0.000335402
226,3.05969,0.000333361
227,3.05868,0.000331351
228,3.05767,0.000329371
229,3.05667,0.000327421
230,3.05567,0.000325499
231,3.05468,0.000323605
232,3.0537,0.000321739
233,3.05272,0.000319899
234,3.05175,0.000318086
235,3.05079,0.000316298
236,3.04983,0.000314535
237,3.04887,0.000312796
238,3.04793,0.000311081
239,3.04698,0.000309389
240,3.04605,0.000307719
241,3.04511,0.000306072
242,3.04419,0.000304446
243,3.04326,0.000302841
244,3.04235,0.000301256
245,3.04144,0.000299692
246,3.04053,0.000298147
247,3.03963,0.000296622
248,3.03873,0.000295115
249,3.03784,0.000293626
250,3.03695,0.000292156
251,3.03607,0.000290702
252,3.03519,0.000289266
253,3.03432,0.000287846
254,3.03345,0.000286443
255,3.03258,0.000285056
256,3.03172,0.000283684
257,3.03087,0.000282327
258,3.03001,0.000280986
259,3.02917,0.000279659
260,3.02832,0.000278346
261,3.02748,0.000277047
262,3.02665,0.000275761
263,3.02582,0.000274489
264,3.02499,0.00027323
265,3.02417,0.000271984
266,3.02335,0.00027075
267,3.02254,0.000269529
268,3.02172,0.000268319
269,3.02092,0.000267121
270,3.02011,0.000265935
271,3.01931,0.000264759
272,3.01852,0.000263595
273,3.01773,0.000262442
274,3.01694,0.000261299
275,3.01615,0.000260166
276,3.01537,0.000259043
277,3.01459,0.000257931
278,3.01382,0.000256828
279,3.01305,0.000255734
280,3.01228,0.00025465
281,3.01152,0.000253575
282,3.01076,0.000252509
283,3.01,0.000251451
284,3.00925,0.000250403
285,3.0085,0.000249362
286,3.00775,0.00024833
287,3.00701,0.000247306
288,3.00626,0.00024629
289,3.00553,0.000245282
290,3.00479,0.000244282
291,3.00406,0.000243289
292,3.00333,0.000242303
293,3.00261,0.000241325
294,3.00189,0.000240353
295,3.00117,0.000239389
296,3.00045,0.000238432
297,2.99974,0.000237481
298,2.99903,0.000236537
299,2.99832,0.000235599
300,2.99762,0.000234668
301,2.99692,0.000233743
302,2.99622,0.000232824
303,2.99553,0.000231912
304,2.99484,0.000231005
305,2.99415,0.000230104
306,2.99346,0.000229209
307,2.99278,0.00022832
308,2.9921,0.000227436
309,2.99142,0.000226558
310,2.99074,0.000225685
311,2.99007,0.000224817
312,2.9894,0.000223955
313,2.98873,0.000223097
314,2.98807,0.000222245
315,2.98741,0.000221398
316,2.98675,0.000220556
317,2.98609,0.000219718
318,2.98544,0.000218885
319,2.98479,0.000218057
320,2.98414,0.000217234
321,2.98349,0.000216415
322,2.98285,0.000215601
323,2.98221,0.000214791
324,2.98157,0.000213986
325,2.98094,0.000213184
326,2.9803,0.000212388
327,2.97967,0.000211595
328,2.97905,0.000210806
329,2.97842,0.000210022
330,2.9778,0.000209241
331,2.97718,0.000208465
332,2.97656,0.000207692
333,2.97594,0.000206923
334,2.97533,0.000206159
335,2.97472,0.000205397
336,2.97411,0.00020464
337,2.9735,0.000203886
338,2.9729,0.000203136
339,2.9723,0.00020239
340,2.9717,0.000201647
341,2.9711,0.000200908
342,2.9705,0.000200172
343,2.96991,0.000199439
344,2.96932,0.00019871
345,2.96873,0.000197985
346,2.96815,0.000197262
347,2.96757,0.000196543
348,2.96698,0.000195827
349,2.96641,0.000195115
350,2.96583,0.000194405
351,2.96525,0.000193699
352,2.96468,0.000192996
353,2.96411,0.000192296
354,2.96354,0.000191599
355,2.96298,0.000190905
356,2.96241,0.000190214
357,2.96185,0.000189526
358,2.96129,0.000188841
359,2.96074,0.000188158
360,2.96018,0.000187479
361,2.95963,0.000186803
362,2.95908,0.000186129
363,2.95853,0.000185458
364,2.95798,0.00018479
365,2.95744,0.000184125
366,2.95689,0.000183462
367,2.95635,0.000182803
368,2.95582,0.000182145
369,2.95528,0.000181491
370,2.95474,0.000180839
371,2.95421,0.00018019
372,2.95368,0.000179543
373,2.95315,0.000178899
374,2.95263,0.000178258
375,2.9521,0.000177619
376,2.95158,0.000176983
377,2.95106,0.000176349
378,2.95054,0.000175717
379,2.95002,0.000175088
380,2.94951,0.000174462
381,2.949,0.000173838
382,2.94849,0.000173216
383,2.94798,0.000172597
384,2.94747,0.00017198
385,2.94697,0.000171365
386,2.94646,0.000170753
387,2.94596,0.000170143
388,2.94546,0.000169536
389,2.94496,0.000168931
390,2.94447,0.000168328
391,2.94397,0.000167727
392,2.94348,0.000167128
393,2.94299,0.000166532
394,2.9425,0.000165938
395,2.94202,0.000165347
396,2.94153,0.000164757
397,2.94105,0.00016417
398,2.94057,0.000163584
399,2.94009,0.000163001
400,2.93961,0.000162421
401,2.93914,0.000161842
402,2.93866,0.000161265
403,2.93819,0.000160691
404,2.93772,0.000160118
405,2.93725,0.000159548
406,2.93678,0.00015898
407,2.93632,0.000158414
408,2.93585,0.000157849
409,2.93539,0.000157287
410,2.93493,0.000156727
411,2.93447,0.000156169
412,2.93402,0.000155613
413,2.93356,0.000155059
414,2.93311,0.000154507
415,2.93266,0.000153957
416,2.93221,0.000153409
417,2.93176,0.000152863
418,2.93131,0.000152319
419,2.93087,0.000151777
420,2.93043,0.000151236
421,2.92998,0.000150698
422,2.92954,0.000150162
423,2.92911,0.000149627
424,2.92867,0.000149094
425,2.92823,0.000148564
426,2.9278,0.000148035
427,2.92737,0.000147508
428,2.92694,0.000146983
429,2.92651,0.000146459
430,2.92608,0.000145938
431,2.92566,0.000145418
432,2.92523,0.000144901
433,2.92481,0.000144385
434,2.92439,0.00014387
435,2.92397,0.000143358
436,2.92355,0.000142848
437,2.92314,0.000142339
438,2.92272,0.000141832
439,2.92231,0.000141327
440,2.9219,0.000140823
441,2.92149,0.000140322
442,2.92108,0.000139822
443,2.92067,0.000139323
444,2.92027,0.000138827
445,2.91986,0.000138332
446,2.91946,0.000137839
447,2.91906,0.000137348
448,2.91866,0.000136859
449,2.91826,0.000136371
450,2.91786,0.000135885
451,2.91747,0.0001354
452,2.91708,0.000134917
453,2.91668,0.000134436
454,2.91629,0.000133957
455,2.9159,0.000133479
456,2.91552,0.000133003
457,2.91513,0.000132529
458,2.91474,0.000132056
459,2.91436,0.000131585
460,2.91398,0.000131115
461,2.9136,0.000130647
462,2.91322,0.000130181
463,2.91284,0.000129716
464,2.91246,0.000129253
465,2.91209,0.000128792
466,2.91172,0.000128332
467,2.91134,0.000127874
468,2.91097,0.000127417
469,2.9106,0.000126962
470,2.91024,0.000126508
471,2.90987,0.000126056
472,2.9095,0.000125606
473,2.90914,0.000125157
474,2.90878,0.00012471
475,2.90841,0.000124264
476,2.90805,0.00012382
477,2.9077,0.000123377
478,2.90734,0.000122936
479,2.90698,0.000122496
480,2.90663,0.000122058
481,2.90627,0.000121622
482,2.90592,0.000121187
483,2.90557,0.000120753
484,2.90522,0.000120321
485,2.90487,0.00011989
486,2.90453,0.000119461
487,2.90418,0.000119034
488,2.90384,0.000118608
489,2.90349,0.000118183
490,2.90315,0.00011776
491,2.90281,0.000117338
492,2.90247,0.000116918
493,2.90213,0.000116499
494,2.9018,0.000116082
495,2.90146,0.000115666
496,2.90113,0.000115251
497,2.90079,0.000114838
498,2.90046,0.000114426
499,2.90013,0.000114016
500,2.8998,0.000113607
501,2.89947,0.0001132
502,2.89914,0.000112794
503,2.89882,0.000112389
504,2.89849,0.000111986
505,2.89817,0.000111584
506,2.89785,0.000111184
507,2.89753,0.000110785
508,2.89721,0.000110387
509,2.89689,0.000109991
510,2.89657,0.000109596
511,2.89625,0.000109203
512,2.89594,0.00010881
513,2.89563,0.00010842
514,2.89531,0.00010803
515,2.895,0.000107642
516,2.89469,0.000107255
517,2.89438,0.00010687
518,2.89407,0.000106486
519,2.89377,0.000106103
520,2.89346,0.000105721
521,2.89316,0.000105341
522,2.89285,0.000104963
523,2.89255,0.000104585
524,2.89225,0.000104209
525,2.89195,0.000103834
526,2.89165,0.00010346
527,2.89135,0.000103088
528,2.89105,0.000102717
529,2.89076,0.000102347
530,2.89046,0.000101979
531,2.89017,0.000101612
532,2.88988,0.000101246
533,2.88958,0.000100881
534,2.88929,0.000100518
535,2.889,0.000100156
536,2.88872,9.9795e-05
537,2.88843,9.94354e-05
538,2.88814,9.90771e-05
539,2.88786,9.872e-05
540,2.88757,9.83641e-05
541,2.88729,9.80095e-05
542,2.88701,9.76562e-05
543,2.88673,9.7304e-05
544,2.88645,9.69531e-05
545,2.88617,9.66034e-05
546,2.88589,9.62549e-05
547,2.88561,9.59076e-05
548,2.88534,9.55616e-05
549,2.88506,9.52167e-05
550,2.88479,9.4873e-05
551,2.88452,9.45306e-05
552,2.88425,9.41893e-05
553,2.88398,9.38492e-05
554,2.88371,9.35103e-05
555,2.88344,9.31726e-05
556,2.88317,9.2836e-05
557,2.8829,9.25007e-05
558,2.88264,9.21665e-05
559,2.88237,9.18334e-05
560,2.88211,9.15016e-05
561,2.88185,9.11709e-05
562,2.88158,9.08413e-05
563,2.88132,9.05129e-05
564,2.88106,9.01856e-05
565,2.8808,8.98595e-05
566,2.88055,8.95345e-05
567,2.88029,8.92107e-05
568,2.88003,8.88879e-05
569,2.87978,8.85663e-05
570,2.87952,8.82459e-05
571,2.87927,8.79265e-05
572,2.87902,8.76083e-05
573,2.87877,8.72912e-05
574,2.87852,8.69752e-05
575,2.87827,8.66603e-05
576,2.87802,8.63465e-05
577,2.87777,8.60338e-05
578,2.87752,8.57222e-05
579,2.87728,8.54116e-05
580,2.87703,8.51022e-05
