t,Ekin,Epot,Etot
0.0000000000,0.0221556731,0.0885734759,0.1107291491
0.0001666667,0.0222660338,0.0884630388,0.1107290726
0.0003333333,0.0225958942,0.0881329501,0.1107288443
0.0005000000,0.0231416083,0.0875868594,0.1107284677
0.0006666667,0.0238971623,0.0868307863,0.1107279486
0.0008333333,0.0248542671,0.0858730279,0.1107272950
0.0010000000,0.0260024852,0.0847240317,0.1107265169
0.0011666667,0.0273293902,0.0833962358,0.1107256260
0.0013333333,0.0288207549,0.0819038808,0.1107246357
0.0015000000,0.0304607640,0.0802627967,0.1107235607
0.0016666667,0.0322322488,0.0784901679,0.1107224167
0.0018333333,0.0341169382,0.0766042820,0.1107212202
0.0020000000,0.0360957214,0.0746242666,0.1107199880
0.0021666667,0.0381489183,0.0725698190,0.1107187373
0.0023333333,0.0402565514,0.0704609335,0.1107174850
0.0025000000,0.0423986158,0.0683176316,0.1107162474
0.0026666667,0.0445553414,0.0661596989,0.1107150403
0.0028333333,0.0467074439,0.0640064345,0.1107138784
0.0030000000,0.0488363603,0.0618764150,0.1107127753
0.0031666667,0.0509244648,0.0597872782,0.1107117430
0.0033333333,0.0529552630,0.0577555293,0.1107107923
0.0035000000,0.0549135609,0.0557963710,0.1107099320
0.0036666667,0.0567856077,0.0539235616,0.1107091692
0.0038333333,0.0585592100,0.0521492994,0.1107085094
0.0040000000,0.0602238181,0.0504841380,0.1107079561
0.0041666667,0.0617705824,0.0489369286,0.1107075110
0.0043333333,0.0631923820,0.0475147922,0.1107071743
0.0045000000,0.0644838257,0.0462231185,0.1107069442
0.0046666667,0.0656412264,0.0450655914,0.1107068178
0.0048333333,0.0666625519,0.0440442385,0.1107067904
0.0050000000,0.0675473534,0.0431595031,0.1107068565
0.0051666667,0.0682966746,0.0424103347,0.1107070092
0.0053333333,0.0689129436,0.0417942974,0.1107072410
0.0055000000,0.0693998519,0.0413076916,0.1107075435
0.0056666667,0.0697622217,0.0409456862,0.1107079079
0.0058333333,0.0700058658,0.0407024594,0.1107083252
0.0060000000,0.0701374421,0.0405713440,0.1107087861
0.0061666667,0.0701643067,0.0405449748,0.1107092814
0.0063333333,0.0700943670,0.0406154352,0.1107098022
0.0065000000,0.0699359380,0.0407744017,0.1107103397
0.0066666667,0.0696976040,0.0410132818,0.1107108858
0.0068333333,0.0693880869,0.0413233459,0.1107114328
0.0070000000,0.0690161241,0.0416958495,0.1107119736
0.0071666667,0.0685903559,0.0421221460,0.1107125019
0.0073333333,0.0681192244,0.0425937878,0.1107130122
0.0075000000,0.0676108841,0.0431026155,0.1107134996
0.0076666667,0.0670731253,0.0436408347,0.1107139601
0.0078333333,0.0665133094,0.0442010810,0.1107143904
0.0080000000,0.0659383167,0.0447764714,0.1107147881
0.0081666667,0.0653545071,0.0453606443,0.1107151514
0.0083333333,0.0647676915,0.0459477877,0.1107154793
0.0085000000,0.0641831144,0.0465326567,0.1107157712
0.0086666667,0.0636054469,0.0471105804,0.1107160273
0.0088333333,0.0630387882,0.0476774601,0.1107162483
0.0090000000,0.0624866762,0.0482297590,0.1107164352
0.0091666667,0.0619521045,0.0487644850,0.1107165895
0.0093333333,0.0614375456,0.0492791674,0.1107167130
0.0095000000,0.0609449793,0.0497718284,0.1107168077
0.0096666667,0.0604759247,0.0502409510,0.1107168758
0.0098333333,0.0600314760,0.0506854436,0.1107169196
0.0100000000,0.0596123388,0.0511046027,0.1107169415
0.0101666667,0.0592188693,0.0514980748,0.1107169440
0.0103333333,0.0588511125,0.0518658170,0.1107169295
0.0105000000,0.0585088411,0.0522080593,0.1107169004
0.0106666667,0.0581915925,0.0525252662,0.1107168588
0.0108333333,0.0578987057,0.0528181012,0.1107168069
0.0110000000,0.0576293548,0.0530873919,0.1107167468
0.0111666667,0.0573825818,0.0533340985,0.1107166803
0.0113333333,0.0571573258,0.0535592833,0.1107166091
0.0115000000,0.0569524508,0.0537640839,0.1107165347
0.0116666667,0.0567667698,0.0539496888,0.1107164586
0.0118333333,0.0565990666,0.0541173152,0.1107163818
0.0120000000,0.0564481154,0.0542681901,0.1107163055
0.0121666667,0.0563126968,0.0544035337,0.1107162305
0.0123333333,0.0561916122,0.0545245453,0.1107161575
0.0125000000,0.0560836953,0.0546323919,0.1107160872
0.0126666667,0.0559878217,0.0547281983,0.1107160199
0.0128333333,0.0559029162,0.0548130400,0.1107159561
0.0130000000,0.0558279584,0.0548879376,0.1107158960
0.0131666667,0.0557619868,0.0549538530,0.1107158397
0.0133333333,0.0557041011,0.0550116863,0.1107157874
0.0135000000,0.0556534636,0.0550622754,0.1107157389
0.0136666667,0.0556092989,0.0551063955,0.1107156944
0.0138333333,0.0555708938,0.0551447598,0.1107156536
0.0140000000,0.0555375952,0.0551780212,0.1107156164
0.0141666667,0.0555088081,0.0552067747,0.1107155827
0.0143333333,0.0554839931,0.0552315592,0.1107155523
0.0145000000,0.0554626636,0.0552528615,0.1107155250
0.0146666667,0.0554443820,0.0552711185,0.1107155006
0.0148333333,0.0554287573,0.0552867215,0.1107154788
0.0150000000,0.0554154408,0.0553000187,0.1107154595
0.0151666667,0.0554041231,0.0553113193,0.1107154425
0.0153333333,0.0553945311,0.0553208964,0.1107154274
0.0155000000,0.0553864239,0.0553289904,0.1107154143
0.0156666667,0.0553795906,0.0553358122,0.1107154028
0.0158333333,0.0553738467,0.0553415460,0.1107153928
0.0160000000,0.0553690317,0.0553463523,0.1107153841
0.0161666667,0.0553650063,0.0553503702,0.1107153766
0.0163333333,0.0553616501,0.0553537200,0.1107153701
0.0165000000,0.0553588593,0.0553565052,0.1107153645
0.0166666667,0.0553565449,0.0553588149,0.1107153598
0.0168333333,0.0553546307,0.0553607251,0.1107153557
0.0170000000,0.0553530516,0.0553623007,0.1107153523
0.0171666667,0.0553517525,0.0553635969,0.1107153494
0.0173333333,0.0553506865,0.0553646604,0.1107153469
0.0175000000,0.0553498141,0.0553655307,0.1107153448
0.0176666667,0.0553491020,0.0553662411,0.1107153431
0.0178333333,0.0553485223,0.0553668194,0.1107153416
0.0180000000,0.0553480515,0.0553672889,0.1107153404
0.0181666667,0.0553476703,0.0553676692,0.1107153394
0.0183333333,0.0553473623,0.0553679763,0.1107153386
0.0185000000,0.0553471141,0.0553682238,0.1107153379
0.0186666667,0.0553469147,0.0553684226,0.1107153373
0.0188333333,0.0553467549,0.0553685820,0.1107153369
0.0190000000,0.0553466271,0.0553687094,0.1107153365
0.0191666667,0.0553465251,0.0553688110,0.1107153362
0.0193333333,0.0553464441,0.0553688919,0.1107153359
0.0195000000,0.0553463797,0.0553689560,0.1107153357
0.0196666667,0.0553463288,0.0553690067,0.1107153355
0.0198333333,0.0553462886,0.0553690468,0.1107153354
0.0200000000,0.0553462570,0.0553690783,0.1107153353
0.0201666667,0.0553462321,0.0553691031,0.1107153352
0.0203333333,0.0553462127,0.0553691225,0.1107153351
0.0205000000,0.0553461975,0.0553691376,0.1107153351
0.0206666667,0.0553461856,0.0553691494,0.1107153350
0.0208333333,0.0553461764,0.0553691586,0.1107153350
0.0210000000,0.0553461692,0.0553691657,0.1107153350
0.0211666667,0.0553461637,0.0553691712,0.1107153349
0.0213333333,0.0553461594,0.0553691755,0.1107153349
0.0215000000,0.0553461561,0.0553691788,0.1107153349
0.0216666667,0.0553461536,0.0553691813,0.1107153349
0.0218333333,0.0553461517,0.0553691832,0.1107153349
0.0220000000,0.0553461502,0.0553691847,0.1107153349
0.0221666667,0.0553461491,0.0553691858,0.1107153349
0.0223333333,0.0553461482,0.0553691866,0.1107153349
0.0225000000,0.0553461476,0.0553691873,0.1107153349
0.0226666667,0.0553461471,0.0553691878,0.1107153349
0.0228333333,0.0553461467,0.0553691881,0.1107153349
0.0230000000,0.0553461464,0.0553691884,0.1107153349
0.0231666667,0.0553461462,0.0553691886,0.1107153349
0.0233333333,0.0553461461,0.0553691888,0.1107153349
0.0235000000,0.0553461460,0.0553691889,0.1107153349
0.0236666667,0.0553461459,0.0553691890,0.1107153349
0.0238333333,0.0553461458,0.0553691890,0.1107153349
0.0240000000,0.0553461458,0.0553691891,0.1107153349
0.0241666667,0.0553461457,0.0553691891,0.1107153349
0.0243333333,0.0553461457,0.0553691891,0.1107153349
0.0245000000,0.0553461457,0.0553691892,0.1107153349
0.0246666667,0.0553461457,0.0553691892,0.1107153349
0.0248333333,0.0553461457,0.0553691892,0.1107153349
0.0250000000,0.0553461457,0.0553691892,0.1107153349
0.0251666667,0.0553461457,0.0553691891,0.1107153349
0.0253333333,0.0553461458,0.0553691891,0.1107153349
0.0255000000,0.0553461458,0.0553691891,0.1107153349
0.0256666667,0.0553461458,0.0553691890,0.1107153349
0.0258333333,0.0553461459,0.0553691890,0.1107153349
0.0260000000,0.0553461460,0.0553691889,0.1107153349
0.0261666667,0.0553461461,0.0553691887,0.1107153349
0.0263333333,0.0553461463,0.0553691885,0.1107153349
0.0265000000,0.0553461466,0.0553691883,0.1107153349
0.0266666667,0.0553461469,0.0553691880,0.1107153349
0.0268333333,0.0553461473,0.0553691876,0.1107153349
0.0270000000,0.0553461479,0.0553691870,0.1107153349
0.0271666667,0.0553461486,0.0553691863,0.1107153349
0.0273333333,0.0553461496,0.0553691853,0.1107153349
0.0275000000,0.0553461509,0.0553691840,0.1107153349
0.0276666667,0.0553461525,0.0553691824,0.1107153349
0.0278333333,0.0553461547,0.0553691802,0.1107153349
0.0280000000,0.0553461576,0.0553691773,0.1107153349
0.0281666667,0.0553461614,0.0553691736,0.1107153349
0.0283333333,0.0553461662,0.0553691687,0.1107153350
0.0285000000,0.0553461725,0.0553691625,0.1107153350
0.0286666667,0.0553461807,0.0553691543,0.1107153350
0.0288333333,0.0553461912,0.0553691438,0.1107153351
0.0290000000,0.0553462048,0.0553691303,0.1107153351
0.0291666667,0.0553462222,0.0553691130,0.1107153352
0.0293333333,0.0553462445,0.0553690908,0.1107153353
0.0295000000,0.0553462730,0.0553690624,0.1107153354
0.0296666667,0.0553463093,0.0553690262,0.1107153355
0.0298333333,0.0553463555,0.0553689801,0.1107153356
0.0300000000,0.0553464141,0.0553689217,0.1107153358
0.0301666667,0.0553464882,0.0553688478,0.1107153361
0.0303333333,0.0553465818,0.0553687546,0.1107153364
0.0305000000,0.0553466996,0.0553686371,0.1107153367
0.0306666667,0.0553468476,0.0553684896,0.1107153372
0.0308333333,0.0553470331,0.0553683047,0.1107153377
0.0310000000,0.0553472648,0.0553680736,0.1107153384
0.0311666667,0.0553475537,0.0553677855,0.1107153392
0.0313333333,0.0553479130,0.0553674272,0.1107153402
0.0315000000,0.0553483587,0.0553669828,0.1107153414
