t,Ekin,Epot,Etot
0.0000000000,0.0886226926,0.0885734759,0.1771961685
0.0001666667,0.0886224541,0.0885737146,0.1771961687
0.0003333333,0.0886217424,0.0885744270,0.1771961694
0.0005000000,0.0886205685,0.0885756020,0.1771961706
0.0006666667,0.0886189505,0.0885772216,0.1771961721
0.0008333333,0.0886169133,0.0885792608,0.1771961741
0.0010000000,0.0886144878,0.0885816885,0.1771961764
0.0011666667,0.0886117110,0.0885844680,0.1771961790
0.0013333333,0.0886086244,0.0885875575,0.1771961818
0.0015000000,0.0886052737,0.0885909112,0.1771961849
0.0016666667,0.0886017081,0.0885944800,0.1771961881
0.0018333333,0.0885979789,0.0885982125,0.1771961914
0.0020000000,0.0885941388,0.0886020559,0.1771961948
0.0021666667,0.0885902411,0.0886059570,0.1771961981
0.0023333333,0.0885863382,0.0886098631,0.1771962013
0.0025000000,0.0885824816,0.0886137228,0.1771962043
0.0026666667,0.0885787200,0.0886174872,0.1771962072
0.0028333333,0.0885750995,0.0886211104,0.1771962099
0.0030000000,0.0885716621,0.0886245501,0.1771962122
0.0031666667,0.0885684457,0.0886277686,0.1771962143
0.0033333333,0.0885654831,0.0886307329,0.1771962160
0.0035000000,0.0885628020,0.0886334154,0.1771962174
0.0036666667,0.0885604245,0.0886357939,0.1771962184
0.0038333333,0.0885583672,0.0886378519,0.1771962191
0.0040000000,0.0885566407,0.0886395787,0.1771962194
0.0041666667,0.0885552503,0.0886409691,0.1771962194
0.0043333333,0.0885541956,0.0886420234,0.1771962190
0.0045000000,0.0885534711,0.0886427473,0.1771962184
0.0046666667,0.0885530661,0.0886431513,0.1771962174
0.0048333333,0.0885529659,0.0886432503,0.1771962163
0.0050000000,0.0885531515,0.0886430634,0.1771962148
0.0051666667,0.0885536001,0.0886426131,0.1771962132
0.0053333333,0.0885542863,0.0886419251,0.1771962115
0.0055000000,0.0885551818,0.0886410278,0.1771962096
0.0056666667,0.0885562562,0.0886399514,0.1771962076
0.0058333333,0.0885574775,0.0886387280,0.1771962055
0.0060000000,0.0885588125,0.0886373909,0.1771962033
0.0061666667,0.0885602269,0.0886359743,0.1771962012
0.0063333333,0.0885616858,0.0886345131,0.1771961989
0.0065000000,0.0885631538,0.0886330429,0.1771961967
0.0066666667,0.0885645949,0.0886315996,0.1771961944
0.0068333333,0.0885659726,0.0886302195,0.1771961921
0.0070000000,0.0885672499,0.0886289398,0.1771961897
0.0071666667,0.0885683885,0.0886277987,0.1771961872
0.0073333333,0.0885693486,0.0886268360,0.1771961846
0.0075000000,0.0885700885,0.0886260933,0.1771961818
0.0076666667,0.0885705634,0.0886256154,0.1771961788
0.0078333333,0.0885707246,0.0886254508,0.1771961755
0.0080000000,0.0885705186,0.0886256531,0.1771961717
0.0081666667,0.0885698853,0.0886262822,0.1771961675
0.0083333333,0.0885687569,0.0886274057,0.1771961627
0.0085000000,0.0885670559,0.0886291012,0.1771961571
0.0086666667,0.0885646931,0.0886314576,0.1771961507
0.0088333333,0.0885615654,0.0886345778,0.1771961433
0.0090000000,0.0885575538,0.0886385809,0.1771961346
0.0091666667,0.0885525198,0.0886436049,0.1771961247
0.0093333333,0.0885463033,0.0886498098,0.1771961131
0.0095000000,0.0885387189,0.0886573808,0.1771960998
0.0096666667,0.0885295527,0.0886665317,0.1771960844
0.0098333333,0.0885185583,0.0886775085,0.1771960668
0.0100000000,0.0885054528,0.0886905937,0.1771960466
0.0101666667,0.0884899132,0.0887061104,0.1771960236
0.0103333333,0.0884715710,0.0887244265,0.1771959975
0.0105000000,0.0884500085,0.0887459596,0.1771959681
0.0106666667,0.0884247536,0.0887711813,0.1771959349
0.0108333333,0.0883952752,0.0888006225,0.1771958978
0.0110000000,0.0883609784,0.0888348779,0.1771958563
0.0111666667,0.0883211998,0.0888746106,0.1771958103
0.0113333333,0.0882752030,0.0889205565,0.1771957595
0.0115000000,0.0882221748,0.0889735289,0.1771957037
0.0116666667,0.0881612208,0.0890344217,0.1771956426
0.0118333333,0.0880913633,0.0891042128,0.1771955761
