t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.0000000000,0.0246731091,0.0986816139,0.2219930518,0.0100000000,0.0100000000,0.0100000000,0.0000000000,0.0000000000,0.0000000000
0.0001666667,0.0246731007,0.0986814799,0.2219923793,0.0099998629,0.0099994517,0.0099987664,-0.0016346270,-0.0065381935,-0.0147097560
0.0003333333,0.0246730347,0.0986804268,0.2219870656,0.0099994568,0.0099978274,0.0099951120,-0.0032285992,-0.0129132413,-0.0290504601
0.0005000000,0.0246728495,0.0986774676,0.2219721183,0.0099987884,0.0099951539,0.0099890978,-0.0047828832,-0.0191285018,-0.0430277647
0.0006666667,0.0246724880,0.0986716906,0.2219429295,0.0099978641,0.0099914576,0.0099807838,-0.0062984227,-0.0251872675,-0.0566472712
0.0008333333,0.0246718976,0.0986622549,0.2218952574,0.0099966905,0.0099867644,0.0099702294,-0.0077761389,-0.0310927660,-0.0699145295
0.0010000000,0.0246710296,0.0986483866,0.2218252101,0.0099952736,0.0099810995,0.0099574927,-0.0092169312,-0.0368481614,-0.0828350378
0.0011666667,0.0246698395,0.0986293758,0.2217292284,0.0099936196,0.0099744876,0.0099426311,-0.0106216777,-0.0424565558,-0.0954142429
0.0013333333,0.0246682863,0.0986045728,0.2216040704,0.0099917345,0.0099669531,0.0099257010,-0.0119912357,-0.0479209901,-0.1076575399
0.0015000000,0.0246663325,0.0985733846,0.2214467959,0.0099896240,0.0099585196,0.0099067579,-0.0133264421,-0.0532444452,-0.1195702723
0.0016666667,0.0246639438,0.0985352725,0.2212547518,0.0099872937,0.0099492105,0.0098858566,-0.0146281138,-0.0584298435,-0.1311577318
0.0018333333,0.0246610891,0.0984897484,0.2210255578,0.0099847493,0.0099390484,0.0098630507,-0.0158970486,-0.0634800498,-0.1424251583
0.0020000000,0.0246577400,0.0984363725,0.2207570922,0.0099819960,0.0099280557,0.0098383931,-0.0171340252,-0.0683978725,-0.1533777403
0.0021666667,0.0246538711,0.0983747502,0.2204474793,0.0099790392,0.0099162542,0.0098119361,-0.0183398039,-0.0731860644,-0.1640206142
0.0023333333,0.0246494594,0.0983045301,0.2200950761,0.0099758840,0.0099036653,0.0097837306,-0.0195151268,-0.0778473245,-0.1743588650
0.0025000000,0.0246444841,0.0982254009,0.2196984601,0.0099725354,0.0098903099,0.0097538271,-0.0206607187,-0.0823842981,-0.1843975259
0.0026666667,0.0246389271,0.0981370895,0.2192564173,0.0099689983,0.0098762085,0.0097222751,-0.0217772869,-0.0867995786,-0.1941415787
0.0028333333,0.0246327720,0.0980393586,0.2187679310,0.0099652775,0.0098613813,0.0096891233,-0.0228655220,-0.0910957082,-0.2035959534
0.0030000000,0.0246260047,0.0979320046,0.2182321706,0.0099613776,0.0098458477,0.0096544196,-0.0239260984,-0.0952751788,-0.2127655289
0.0031666667,0.0246186127,0.0978148558,0.2176484811,0.0099573032,0.0098296272,0.0096182109,-0.0249596742,-0.0993404334,-0.2216551323
0.0033333333,0.0246105854,0.0976877700,0.2170163728,0.0099530588,0.0098127385,0.0095805437,-0.0259668921,-0.1032938663,-0.2302695396
0.0035000000,0.0246019138,0.0975506332,0.2163355115,0.0099486486,0.0097952000,0.0095414633,-0.0269483795,-0.1071378249,-0.2386134759
0.0036666667,0.0245925905,0.0974033576,0.2156057092,0.0099440770,0.0097770298,0.0095010145,-0.0279047489,-0.1108746100,-0.2466916147
