t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0001666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000005818,0.0000000000,-0.0000005818
0.0003333333,0.0000000000,0.0000000000,0.0000000000,0.0000000002,0.0000000000,-0.0000000002,0.0000023269,0.0000000000,-0.0000023268
0.0005000000,0.0000000000,0.0000000000,0.0000000000,0.0000000008,0.0000000000,-0.0000000008,0.0000052353,0.0000000000,-0.0000052346
0.0006666667,0.0000000000,0.0000000000,0.0000000000,0.0000000019,0.0000000000,-0.0000000019,0.0000093065,0.0000000000,-0.0000093039
0.0008333333,0.0000000001,0.0000000000,0.0000000001,0.0000000039,0.0000000000,-0.0000000039,0.0000145399,0.0000000000,-0.0000145335
0.0010000000,0.0000000001,0.0000000000,0.0000000001,0.0000000068,0.0000000000,-0.0000000068,0.0000209348,0.0000000000,-0.0000209214
0.0011666667,0.0000000002,0.0000000000,0.0000000002,0.0000000109,0.0000000000,-0.0000000109,0.0000284904,0.0000000000,-0.0000284654
0.0013333333,0.0000000003,0.0000000000,0.0000000003,0.0000000163,0.0000000000,-0.0000000163,0.0000372055,0.0000000000,-0.0000371627
0.0015000000,0.0000000006,0.0000000000,0.0000000006,0.0000000233,0.0000000000,-0.0000000232,0.0000470791,0.0000000000,-0.0000470103
0.0016666667,0.0000000008,0.0000000000,0.0000000008,0.0000000320,0.0000000000,-0.0000000319,0.0000581098,0.0000000000,-0.0000580046
0.0018333333,0.0000000012,0.0000000000,0.0000000012,0.0000000426,0.0000000000,-0.0000000426,0.0000702959,0.0000000000,-0.0000701418
0.0020000000,0.0000000017,0.0000000000,0.0000000017,0.0000000554,0.0000000000,-0.0000000553,0.0000836360,0.0000000000,-0.0000834174
0.0021666667,0.0000000024,0.0000000000,0.0000000024,0.0000000705,0.0000000000,-0.0000000704,0.0000981281,0.0000000000,-0.0000978268
0.0023333333,0.0000000032,0.0000000000,0.0000000032,0.0000000881,0.0000000000,-0.0000000879,0.0001137702,0.0000000000,-0.0001133649
0.0025000000,0.0000000043,0.0000000000,0.0000000043,0.0000001084,0.0000000000,-0.0000001082,0.0001305603,0.0000000000,-0.0001300259
0.0026666667,0.0000000055,0.0000000000,0.0000000055,0.0000001316,0.0000000000,-0.0000001313,0.0001484959,0.0000000000,-0.0001478041
0.0028333333,0.0000000070,0.0000000000,0.0000000070,0.0000001579,0.0000000000,-0.0000001574,0.0001675747,0.0000000000,-0.0001666931
0.0030000000,0.0000000088,0.0000000000,0.0000000088,0.0000001875,0.0000000000,-0.0000001868,0.0001877941,0.0000000000,-0.0001866860
0.0031666667,0.0000000109,0.0000000000,0.0000000109,0.0000002205,0.0000000000,-0.0000002197,0.0002091512,0.0000000000,-0.0002077758
0.0033333333,0.0000000134,0.0000000000,0.0000000134,0.0000002572,0.0000000000,-0.0000002561,0.0002316431,0.0000000000,-0.0002299548
0.0035000000,0.0000000163,0.0000000000,0.0000000162,0.0000002977,0.0000000000,-0.0000002963,0.0002552667,0.0000000000,-0.0002532153
0.0036666667,0.0000000196,0.0000000000,0.0000000195,0.0000003423,0.0000000000,-0.0000003405,0.0002800189,0.0000000000,-0.0002775487
0.0038333333,0.0000000234,0.0000000000,0.0000000233,0.0000003911,0.0000000000,-0.0000003888,0.0003058961,0.0000000000,-0.0003029464
0.0040000000,0.0000000278,0.0000000000,0.0000000276,0.0000004443,0.0000000000,-0.0000004415,0.0003328949,0.0000000000,-0.0003293993
0.0041666667,0.0000000326,0.0000000000,0.0000000324,0.0000005020,0.0000000000,-0.0000004986,0.0003610115,0.0000000000,-0.0003568979
0.0043333333,0.0000000382,0.0000000000,0.0000000378,0.0000005646,0.0000000000,-0.0000005604,0.0003902421,0.0000000000,-0.0003854324
0.0045000000,0.0000000443,0.0000000000,0.0000000439,0.0000006321,0.0000000000,-0.0000006271,0.0004205826,0.0000000000,-0.0004149923
0.0046666667,0.0000000512,0.0000000000,0.0000000507,0.0000007048,0.0000000000,-0.0000006988,0.0004520289,0.0000000000,-0.0004455672
0.0048333333,0.0000000589,0.0000000000,0.0000000583,0.0000007828,0.0000000000,-0.0000007756,0.0004845767,0.0000000000,-0.0004771460
0.0050000000,0.0000000673,0.0000000000,0.0000000666,0.0000008663,0.0000000000,-0.0000008578,0.0005182214,0.0000000000,-0.0005097174
0.0051666667,0.0000000767,0.0000000000,0.0000000758,0.0000009555,0.0000000000,-0.0000009455,0.0005529586,0.0000000000,-0.0005432696
0.0053333333,0.0000000869,0.0000000000,0.0000000859,0.0000010506,0.0000000000,-0.0000010389,0.0005887833,0.0000000000,-0.0005777905
0.0055000000,0.0000000982,0.0000000000,0.0000000969,0.0000011518,0.0000000000,-0.0000011381,0.0006256906,0.0000000000,-0.0006132676
0.0056666667,0.0000001105,0.0000000000,0.0000001090,0.0000012592,0.0000000000,-0.0000012433,0.0006636755,0.0000000000,-0.0006496881
0.0058333333,0.0000001239,0.0000000000,0.0000001221,0.0000013730,0.0000000000,-0.0000013547,0.0007027328,0.0000000000,-0.0006870389
0.0060000000,0.0000001385,0.0000000000,0.0000001363,0.0000014935,0.0000000000,-0.0000014724,0.0007428570,0.0000000000,-0.0007253065
0.0061666667,0.0000001543,0.0000000000,0.0000001518,0.0000016206,0.0000000000,-0.0000015965,0.0007840427,0.0000000000,-0.0007644768
0.0063333333,0.0000001714,0.0000000000,0.0000001684,0.0000017548,0.0000000000,-0.0000017272,0.0008262842,0.0000000000,-0.0008045359
0.0065000000,0.0000001899,0.0000000000,0.0000001864,0.0000018961,0.0000000000,-0.0000018646,0.0008695755,0.0000000000,-0.0008454690
0.0066666667,0.0000002098,0.0000000000,0.0000002058,0.0000020447,0.0000000000,-0.0000020090,0.0009139109,0.0000000000,-0.0008872614
0.0068333333,0.0000002313,0.0000000000,0.0000002265,0.0000022007,0.0000000000,-0.0000021604,0.0009592842,0.0000000000,-0.0009298978
