x,y
0.478899,0.000809035
0.478897,0.00161807
0.478892,0.00242709
0.478886,0.00323611
0.478879,0.00404512
0.478869,0.00485411
0.478858,0.00566308
0.478845,0.00647204
0.47883,0.00728097
0.478814,0.00808987
0.478796,0.00889875
0.478776,0.00970759
0.478755,0.0105164
0.478731,0.0113252
0.478707,0.0121339
0.47868,0.0129426
0.478651,0.0137512
0.478621,0.0145598
0.478589,0.0153684
0.478556,0.0161768
0.478521,0.0169853
0.478484,0.0177936
0.478445,0.0186019
0.478404,0.0194102
0.478362,0.0202183
0.478318,0.0210264
0.478273,0.0218344
0.478225,0.0226424
0.478176,0.0234502
0.478126,0.024258
0.478073,0.0250657
0.478019,0.0258733
0.477963,0.0266808
0.477905,0.0274882
0.477846,0.0282955
0.477785,0.0291027
0.477722,0.0299098
0.477658,0.0307168
0.477591,0.0315236
0.477523,0.0323304
0.477454,0.033137
0.477382,0.0339436
0.477309,0.03475
0.477234,0.0355563
0.477158,0.0363624
0.477079,0.0371684
0.476999,0.0379743
0.476918,0.0387801
0.476834,0.0395857
0.476749,0.0403912
0.476662,0.0411965
0.476574,0.0420017
0.476483,0.0428067
0.476391,0.0436116
0.476298,0.0444163
0.476202,0.0452208
0.476105,0.0460252
0.476006,0.0468295
0.475905,0.0476335
0.475803,0.0484374
0.475699,0.0492411
0.475593,0.0500446
0.475486,0.050848
0.475377,0.0516511
0.475266,0.0524541
0.475153,0.0532569
0.475039,0.0540595
0.474923,0.0548619
0.474805,0.0556641
0.474685,0.0564661
0.474564,0.0572679
0.474441,0.0580695
0.474316,0.0588709
0.47419,0.0596721
0.474062,0.060473
0.473932,0.0612738
0.473801,0.0620743
0.473667,0.0628746
0.473533,0.0636746
0.473396,0.0644745
0.473258,0.0652741
0.473117,0.0660734
0.472976,0.0668725
0.472832,0.0676714
0.472687,0.0684701
0.47254,0.0692684
0.472391,0.0700666
0.472241,0.0708645
0.472089,0.0716621
0.471935,0.0724594
0.47178,0.0732565
0.471623,0.0740534
0.471464,0.07485
0.471303,0.0756462
0.471141,0.0764423
0.470977,0.077238
0.470811,0.0780335
0.470643,0.0788287
0.470474,0.0796235
0.470303,0.0804182
0.470131,0.0812125
0.469956,0.0820065
0.46978,0.0828002
0.469603,0.0835936
0.469423,0.0843867
0.469242,0.0851795
0.469059,0.085972
0.468875,0.0867642
0.468689,0.0875561
0.468501,0.0883476
0.468311,0.0891389
0.468119,0.0899298
0.467926,0.0907203
0.467732,0.0915106
0.467535,0.0923005
0.467337,0.0930901
0.467137,0.0938793
0.466935,0.0946682
0.466732,0.0954567
0.466527,0.0962449
0.46632,0.0970328
0.466112,0.0978203
0.465902,0.0986074
0.46569,0.0993942
0.465476,0.100181
0.465261,0.100967
0.465044,0.101752
0.464826,0.102538
0.464605,0.103323
0.464383,0.104107
0.464159,0.104891
0.463934,0.105675
0.463707,0.106458
0.463478,0.107241
0.463247,0.108024
0.463015,0.108806
0.462781,0.109588
0.462546,0.110369
0.462308,0.11115
0.462069,0.111931
0.461829,0.112711
0.461586,0.113491
0.461342,0.11427
0.461096,0.115049
0.460849,0.115828
0.460599,0.116606
0.460348,0.117384
0.460096,0.118161
0.459842,0.118938
0.459586,0.119714
0.459328,0.12049
0.459068,0.121265
0.458807,0.12204
0.458545,0.122815
0.45828,0.123589
0.458014,0.124363
0.457746,0.125136
0.457477,0.125909
0.457205,0.126681
0.456932,0.127453
0.456658,0.128224
0.456382,0.128995
0.456104,0.129765
0.455824,0.130535
0.455543,0.131305
0.45526,0.132074
0.454975,0.132842
0.454688,0.13361
0.4544,0.134377
0.45411,0.135144
0.453819,0.135911
0.453526,0.136677
0.453231,0.137442
0.452934,0.138207
0.452636,0.138972
0.452336,0.139735
0.452035,0.140499
0.451731,0.141262
0.451426,0.142024
0.45112,0.142786
0.450812,0.143547
